brand,product,color,rgb,rgb0,hex
HUDA BEAUTY,Power Bullet Lipstick,Ladies Night,"(113, 40, 47)","(255, 0, 24)",#71282f
HUDA BEAUTY,Power Bullet Lipstick,Pay Day,"(158, 79, 84)","(255, 0, 16)",#9e4f54
HUDA BEAUTY,Power Bullet Lipstick,Third Date,"(163, 79, 77)","(255, 6, 0)",#a34f4d
HUDA BEAUTY,Power Bullet Lipstick,Joyride,"(165, 96, 89)","(255, 23, 0)",#a56059
HUDA BEAUTY,Power Bullet Lipstick,Interview,"(189, 102, 93)","(255, 24, 0)",#bd665d
HUDA BEAUTY,Power Bullet Lipstick,Pool Party,"(162, 83, 89)","(255, 0, 19)",#a25359
HUDA BEAUTY,Power Bullet Lipstick,Graduation Day,"(149, 79, 69)","(255, 32, 0)",#954f45
HUDA BEAUTY,Power Bullet Lipstick,Promotion Day,"(147, 62, 59)","(255, 9, 0)",#933e3b
HUDA BEAUTY,Power Bullet Lipstick,El Cinco De Mayo,"(160, 56, 47)","(255, 20, 0)",#a0382f
HUDA BEAUTY,Power Bullet Lipstick,Bachelorette,"(190, 62, 85)","(255, 0, 46)",#be3e55
HUDA BEAUTY,Power Bullet Lipstick,Spring Break,"(213, 77, 81)","(255, 0, 7)",#d54d51
HUDA BEAUTY,Power Bullet Lipstick,Honeymoon,"(176, 80, 82)","(255, 0, 5)",#b05052
HUDA BEAUTY,Power Bullet Lipstick,Rendez-Vous,"(189, 104, 99)","(255, 14, 0)",#bd6863
HUDA BEAUTY,Power Bullet Lipstick,Staycation,"(176, 121, 100)","(255, 70, 0)",#b07964
HUDA BEAUTY,Power Bullet Lipstick,Anniversary,"(194, 132, 111)","(255, 65, 0)",#c2846f
HUDA BEAUTY,Power Bullet Lipstick,Wedding day (3 g),"(178, 83, 77)","(255, 15, 0)",#b2534d
HUDA BEAUTY,Power Bullet Lipstick,Dirty Thirty (3 g),"(168, 102, 104)","(255, 0, 8)",#a86668
HUDA BEAUTY,Power Bullet Lipstick,Game Night (3 g),"(164, 96, 77)","(255, 56, 0)",#a4604d
HUDA BEAUTY,Power Bullet Lipstick,Prom Night (3 g),"(199, 115, 105)","(255, 27, 0)",#c77369
HUDA BEAUTY,Power Bullet Lipstick,Girls Trip (3 g),"(187, 110, 104)","(255, 18, 0)",#bb6e68
HUDA BEAUTY,Power Bullet Lipstick,Last Night (3 g),"(162, 102, 78)","(255, 73, 0)",#a2664e
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,GRISELDA,"(79, 26, 36)","(255, 0, 48)",#4f1a24
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,SPANKED,"(188, 76, 88)","(255, 0, 27)",#bc4c58
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,YA DIG?!,"(104, 131, 198)","(0, 73, 255)",#6883c6
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,MIDNIGHT WASABI,"(79, 97, 73)","(64, 255, 0)",#4f6149
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,ONE OF THE BOYZ,"(171, 139, 206)","(122, 0, 255)",#ab8bce
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,FRECKLE FIESTA,"(181, 106, 83)","(255, 60, 0)",#b56a53
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,PMS,"(94, 56, 43)","(255, 65, 0)",#5e382b
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,SHAWTY,"(159, 87, 63)","(255, 64, 0)",#9f573f
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,Tiger Tini,"(221, 51, 36)","(255, 21, 0)",#dd3324
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,Pumpkin Rose,"(203, 110, 43)","(255, 107, 0)",#cb6e2b
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,THICC,"(176, 93, 101)","(255, 0, 25)",#b05d65
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,Ballerina Blackout,"(221, 123, 161)","(255, 0, 99)",#dd7ba1
FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,Dragon Mami,"(219, 57, 72)","(255, 0, 24)",#db3948
MILK MAKEUP,Lip + Cheek Mini Stick,Werk - Dusty Rose (6 g),"(223, 134, 130)","(255, 11, 0)",#df8682
MILK MAKEUP,Lip + Cheek Mini Stick,Quirk - Berry (6 g),"(175, 60, 63)","(255, 0, 7)",#af3c3f
MILK MAKEUP,Lip + Cheek Mini Stick,Flip - True Red (6 g),"(244, 66, 88)","(255, 0, 32)",#f44258
MILK MAKEUP,Lip + Cheek Mini Stick,Rally (6 g),"(218, 112, 148)","(255, 0, 87)",#da7094
MILK MAKEUP,Lip + Cheek Mini Stick,Perk (6 g),"(248, 106, 102)","(255, 7, 0)",#f86a66
MILK MAKEUP,Lip + Cheek Mini Stick,Quickie (6 g),"(76, 20, 31)","(255, 0, 50)",#4c141f
MILK MAKEUP,Lip + Cheek Mini Stick,Swerve (6 g),"(162, 65, 46)","(255, 42, 0)",#a2412e
NUDESTIX,Nudies Bloom All Over Dewy Color,Rusty Rouge (7 g),"(166, 68, 39)","(255, 58, 0)",#a64427
NUDESTIX,Nudies Bloom All Over Dewy Color,Bohemian rose (7 g),"(182, 66, 79)","(255, 0, 29)",#b6424f
NUDESTIX,Nudies Bloom All Over Dewy Color,NUDIES BLOOM CRIMSON LOVER,"(140, 58, 44)","(255, 37, 0)",#8c3a2c
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Inspire (3,9 ml)","(202, 60, 59)","(255, 2, 0)",#ca3c3b
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Fearless (3,9 ml)","(138, 68, 66)","(255, 7, 0)",#8a4442
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Energize (3,9 ml)","(214, 90, 118)","(255, 0, 58)",#d65a76
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Courage (3,9 ml)","(175, 107, 96)","(255, 36, 0)",#af6b60
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Heroic (3,9 ml)","(150, 14, 64)","(255, 0, 94)",#960e40
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Brave (3,9 ml)","(179, 89, 62)","(255, 59, 0)",#b3593e
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Transform (3,9 ml)","(130, 28, 42)","(255, 0, 35)",#821c2a
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Daring (3,9 ml)","(187, 118, 147)","(255, 0, 107)",#bb7693
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Thrilling (3,9 ml)","(118, 74, 63)","(255, 51, 0)",#764a3f
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Ascend (3,9 ml)","(221, 29, 115)","(255, 0, 114)",#dd1d73
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Strengthen (3,9 ml)","(132, 48, 81)","(255, 0, 100)",#843051
RARE BEAUTY,Lip Soufflé Matte Lip Cream,"Motivate (3,9 ml)","(212, 67, 100)","(255, 0, 58)",#d44364
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","028 Actrice - Satin (3,5 g)","(225, 63, 74)","(255, 0, 17)",#e13f4a
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","080 Red Smile - Satin (3,5 g)","(217, 37, 36)","(255, 1, 0)",#d92524
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","219 Rose Montaigne - Satin (3,5 g)","(216, 133, 119)","(255, 37, 0)",#d88577
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","277 Osée - Satin (3,5 g)","(218, 112, 132)","(255, 0, 48)",#da7084
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","365 New World - Satin (3,5 g)","(238, 111, 104)","(255, 13, 0)",#ee6f68
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","434 Promenade - Satin (3,5 g)","(197, 104, 97)","(255, 18, 0)",#c56861
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","453 Adorée - Satin (3,5 g)","(223, 32, 39)","(255, 0, 9)",#df2027
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","520 Feel Good - Satin (3,5 g)","(223, 1, 52)","(255, 0, 59)",#df0134
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","644 Sydney - Satin (3,5 g)","(183, 62, 67)","(255, 0, 11)",#b73e43
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","663 Désir - Satin (3,5 g)","(208, 83, 99)","(255, 0, 33)",#d05363
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","683 Rendez-vous - Satin (3,5 g)","(203, 95, 93)","(255, 5, 0)",#cb5f5d
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","743 Rouge Zinnia - Satin (3,5 g)","(194, 26, 43)","(255, 0, 26)",#c21a2b
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","766 Rose Harpers - Satin (3,5 g)","(221, 32, 88)","(255, 0, 76)",#dd2058
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","844 Trafalgar - Satin (3,5 g)","(221, 48, 8)","(255, 48, 0)",#dd3008
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","849 Rouge Cinéma - Satin (3,5 g)","(171, 55, 32)","(255, 42, 0)",#ab3720
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","869 Sophisticated - Satin (3,5 g)","(162, 37, 31)","(255, 12, 0)",#a2251f
HUDA BEAUTY,Liquid Matte Minis Kit Ultra-comfort Transfer-proof Long Wear Matte Lipsticks,"Lip Kit (4 x 1,9 ml)","(161, 41, 50)","(255, 0, 19)",#a12932
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","959 Charnelle - Satin (3,5 g)","(158, 54, 51)","(255, 7, 0)",#9e3633
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Satin (3,5 g)","(187, 7, 16)","(255, 0, 13)",#bb0710
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","525 Chérie - Metallic (3,5 g)","(189, 69, 78)","(255, 0, 19)",#bd454e
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","678 Culte - Metallic (3,5 g)","(217, 65, 112)","(255, 0, 79)",#d94170
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Metallic (3,5 g)","(215, 36, 39)","(255, 0, 4)",#d72427
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","100 Nude Look - Mat (3,5 g)","(210, 128, 130)","(255, 0, 6)",#d28082
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","314 Grand Bal (3,5 g)","(201, 106, 76)","(255, 61, 0)",#c96a4c
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","505 Sensual - Mat (3,5 g)","(205, 137, 134)","(255, 11, 0)",#cd8986
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","772 Classic- Mat (3,5 g)","(206, 111, 119)","(255, 0, 21)",#ce6f77
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","846 Concorde - Mat (3,5 g)","(199, 63, 41)","(255, 36, 0)",#c73f29
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","888 Strong Red - Mat (3,5 g)","(217, 53, 52)","(255, 2, 0)",#d93534
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","964 Ambitious - Mat (3,5 g)","(171, 84, 93)","(255, 0, 26)",#ab545d
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Mat (3,5 g)","(204, 55, 49)","(255, 10, 0)",#cc3731
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","720 Icone - Velvet (3,5 g)","(190, 77, 71)","(255, 13, 0)",#be4d47
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","760 Favorite - Velvet (3,5 g)","(182, 35, 41)","(255, 0, 10)",#b62329
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","886 Enigmatic - Velours (3,5 g)","(116, 51, 59)","(255, 0, 31)",#74333b
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","999 - Velvet (3,5 g)","(209, 39, 26)","(255, 18, 0)",#d1271a
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","241 Pink Sakura - Satin (3,5 g)","(225, 125, 123)","(255, 5, 0)",#e17d7b
DIOR,"Rouge Dior Refillbart läppstift- Satin, matt, mettalic och sammetsfinish","348 Coral Peony - Satin (3,5 g)","(240, 127, 93)","(255, 59, 0)",#f07f5d
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,01 Always Red,"(237, 36, 44)","(255, 0, 10)",#ed242c
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Wifey (4,2 ml)","(202, 131, 129)","(255, 7, 0)",#ca8381
FENTY BEAUTY BY RIHANNA,Poutsicle Juicy Satin Lipstick,Motorboat (3 g),"(89, 155, 233)","(0, 117, 255)",#599be9
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,02 Classsic Beige,"(207, 157, 148)","(255, 39, 0)",#cf9d94
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,03 Strawberry Kissed,"(238, 104, 129)","(255, 0, 48)",#ee6881
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,04 Endless Purple,"(185, 118, 135)","(255, 0, 65)",#b97687
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,05 Infinite Rose,"(234, 164, 154)","(255, 32, 0)",#eaa49a
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,06 Pink Soufflé,"(213, 153, 165)","(255, 0, 51)",#d599a5
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,09 Watermelon Slice,"(240, 121, 125)","(255, 0, 9)",#f0797d
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,13 Marvelous Mauve,"(203, 137, 141)","(255, 0, 15)",#cb898d
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,14 Blackberry Sorbet,"(145, 80, 88)","(255, 0, 31)",#915058
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,16 Cherry Nectar,"(175, 103, 125)","(255, 0, 78)",#af677d
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,17 Dark-Red,"(196, 103, 114)","(255, 0, 30)",#c46772
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,23 Copper Blush,"(206, 157, 150)","(255, 32, 0)",#ce9d96
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,24 Burnt Sienna,"(179, 120, 126)","(255, 0, 26)",#b3787e
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Bombshell (4,2 ml)","(182, 93, 87)","(255, 16, 0)",#b65d57
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Venus (4,2 ml)","(175, 112, 103)","(255, 32, 0)",#af7067
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Trendsetter (4,2 ml)","(163, 90, 81)","(255, 28, 0)",#a35a51
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Trophy Wife (4,2 ml)","(157, 61, 98)","(255, 0, 98)",#9d3d62
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Muse (4,2 ml)","(198, 105, 134)","(255, 0, 80)",#c66986
HUDA BEAUTY,Liquid Matte Ultra-comfort Transfer-proof Long Wear Matte Lipstick,"Icon (4,2 ml)","(202, 52, 77)","(255, 0, 42)",#ca344d
